experiment,train_accuracy_ave,train_accuracy_var,test_accuracy_ave,test_accuracy_var,val_accuracy_ave,val_accuracy_var,test_precision_ave,test_precision_var,test_recall_ave,test_recall_var,test_f1_ave,test_f1_var,val_precision_ave,val_precision_var,val_recall_ave,val_recall_var,val_f1_ave,val_f1_var,timeuse_ave,timeuse_var
baseline,0.999461899421147,5.94678737227897e-10,0.999424443628841,3.24701526944255e-09,0.999377404220084,3.58623471600916e-09,0.823500434656621,0.00124445651520733,0.704545454545455,0.00195367403159611,0.758373081033179,0.000708900217501423,0.870154484960691,0.000503103324174105,0.780713218820015,0.0032328355515943,0.821579876044456,0.00061325584479927,34.5636900067329,3.01948861547079
remove time,0.999461899421147,5.94678737227897e-10,0.999424443628841,3.24701526944255e-09,0.999377404220084,3.58623471600916e-09,0.823500434656621,0.00124445651520733,0.704545454545455,0.00195367403159611,0.758373081033179,0.000708900217501423,0.870154484960691,0.000503103324174105,0.780713218820015,0.0032328355515943,0.821579876044456,0.00061325584479927,32.9221548438072,2.85912849859329
time(log),0.999461899421147,5.94678737227897e-10,0.999424443628841,3.24701526944255e-09,0.999377404220084,3.58623471600916e-09,0.823500434656621,0.00124445651520733,0.704545454545455,0.00195367403159611,0.758373081033179,0.000708900217501423,0.870154484960691,0.000503103324174105,0.780713218820015,0.0032328355515943,0.821579876044456,0.00061325584479927,32.011313021183,4.79604183297091
time(min_max_norm),0.999461899421147,5.94678737227897e-10,0.999424443628841,3.24701526944255e-09,0.999377404220084,3.58623471600916e-09,0.823500434656621,0.00124445651520733,0.704545454545455,0.00195367403159611,0.758373081033179,0.000708900217501423,0.870154484960691,0.000503103324174105,0.780713218820015,0.0032328355515943,0.821579876044456,0.00061325584479927,29.215733230114,13.5043936299247
time(zscore_norm),0.999461899421147,5.94678737227897e-10,0.999424443628841,3.24701526944255e-09,0.999377404220084,3.58623471600916e-09,0.823500434656621,0.00124445651520733,0.704545454545455,0.00195367403159611,0.758373081033179,0.000708900217501423,0.870154484960691,0.000503103324174105,0.780713218820015,0.0032328355515943,0.821579876044456,0.00061325584479927,27.9034824967384,5.57321912258872
time(tran_to_hour),0.999461899421147,5.94678737227897e-10,0.999424443628841,3.24701526944255e-09,0.999377404220084,3.58623471600916e-09,0.823500434656621,0.00124445651520733,0.704545454545455,0.00195367403159611,0.758373081033179,0.000708900217501423,0.870154484960691,0.000503103324174105,0.780713218820015,0.0032328355515943,0.821579876044456,0.00061325584479927,29.9496662020683,2.36804943449554
