experiment,train_accuracy_ave,train_accuracy_var,test_accuracy_ave,test_accuracy_var,val_accuracy_ave,val_accuracy_var,test_precision_ave,test_precision_var,test_recall_ave,test_recall_var,test_f1_ave,test_f1_var,val_precision_ave,val_precision_var,val_recall_ave,val_recall_var,val_f1_ave,val_f1_var,timeuse_ave,timeuse_var
th(0.1),0.999361098305144,9.94664196343044e-09,0.999407760835474,6.4012586740366e-09,0.999284014516883,1.08384310138516e-08,0.795002536249716,0.0025870109343824,0.730519480519481,0.000379490639230899,0.760621582850647,0.000626753422129425,0.800458499955713,0.00137070248601743,0.81693427931292,0.00108130112815902,0.808173170620023,0.000749480189004417,25.6680552363396,0.200786379053374
th(0.2),0.99938778078365,4.67322896263089e-09,0.999407760835474,6.4012586740366e-09,0.999315144998072,1.21292797749873e-08,0.795002536249716,0.0025870109343824,0.730519480519481,0.000379490639230899,0.760621582850647,0.000626753422129425,0.816313957182852,0.00108472036538838,0.812079910380881,0.000816649199825311,0.814101354901865,0.000848673119239466,26.3501113057137,0.190391105851646
th(0.3),0.999454487577614,8.4370473501548e-10,0.9994202729305,3.409366032914e-09,0.999377404220084,3.58623471600916e-09,0.809475730590744,0.000588793194213463,0.717532467532468,0.000716815651880587,0.760687895847994,0.000621492081265519,0.861482398239824,0.000339344555100908,0.7903286034354,0.00158239798816196,0.823796925152094,0.000416334197834126,27.0179685354233,0.139711007083766
th(0.4),0.999454487577614,8.4370473501548e-10,0.9994202729305,3.409366032914e-09,0.999377404220084,3.58623471600916e-09,0.809475730590744,0.000588793194213463,0.717532467532468,0.000716815651880587,0.760687895847994,0.000621492081265519,0.861482398239824,0.000339344555100908,0.7903286034354,0.00158239798816196,0.823796925152094,0.000416334197834126,27.7169654965401,0.146661714874024
th(0.5),0.999461899421147,5.94678737227897e-10,0.999424443628841,3.24701526944255e-09,0.999377404220084,3.58623471600916e-09,0.823500434656621,0.00124445651520733,0.704545454545455,0.00195367403159611,0.758373081033179,0.000708900217501423,0.870154484960691,0.000503103324174105,0.780713218820015,0.0032328355515943,0.821579876044456,0.00061325584479927,28.5023612380028,0.109708664659872
th(0.6),0.999461899421147,5.94678737227897e-10,0.999424443628841,3.24701526944255e-09,0.999377404220084,3.58623471600916e-09,0.823500434656621,0.00124445651520733,0.704545454545455,0.00195367403159611,0.758373081033179,0.000708900217501423,0.870154484960691,0.000503103324174105,0.780713218820015,0.0032328355515943,0.821579876044456,0.00061325584479927,29.1877227425575,0.0951497799794036
th(0.7),0.999450040471494,2.66507784868283e-10,0.999411931533816,3.03827857355055e-09,0.999350721425151,3.90286350705867e-09,0.834841286786947,0.00148024214031164,0.678571428571429,0.00217855737336257,0.747331350908294,0.000691983466590053,0.871568912117693,0.000440688630311446,0.761482449589246,0.00234238917944516,0.811823778483481,0.000540140583453386,29.9877977371216,0.0996318115504664
th(0.8),0.999378886615359,2.09482939273908e-09,0.999320176170298,3.96599722195932e-09,0.999306250258454,2.53173226651671e-09,0.881492549172779,0.00414632028948021,0.551948051948052,0.00781469612638444,0.672573935633637,0.00323979536202847,0.883469655344655,0.000643577656837834,0.720453696788648,0.00193066289126329,0.792625389283301,0.000434622144684658,30.7378667593002,0.0185800109196445
th(0.9),0.999160978063891,1.447365865602e-08,0.999195055220046,6.00697824846798e-09,0.999092788452639,1.11820166002825e-08,0.940689016865487,0.000858501198271808,0.399350649350649,0.00442739079102715,0.557831757628918,0.00435574967864859,0.915762340703793,0.00185433454826167,0.563620238984317,0.0072539593443697,0.693330057855632,0.00322402793720993,31.5064105391502,0.0681746613212368
th(1),0.9981544482354,8.73572414371765e-12,0.998715424910747,0,0.998154448322681,7.86246374970845e-11,0,0,0,0,0,0,0,0,0,0,0,0,32.1930575370789,0.0524071260169497
